,model,num_hidden_layers,hidden_size,hidden_layer_dropout,mse,num_params
54,"5-Layer FC-Net (38071 parameters, dropout = 0.2)",4,90,0.2,0.031594393681914516,38071
55,"5-Layer FC-Net (38071 parameters, dropout = 0.5)",4,90,0.5,0.03142935888817087,38071
56,"5-Layer FC-Net (38071 parameters, dropout = 0.7)",4,90,0.7,0.03146700270195867,38071
57,"5-Layer FC-Net (61561 parameters, dropout = 0.2)",4,120,0.2,0.03177402586371635,61561
58,"5-Layer FC-Net (61561 parameters, dropout = 0.5)",4,120,0.5,0.03229946757070602,61561
59,"5-Layer FC-Net (61561 parameters, dropout = 0.7)",4,120,0.7,0.03298327218571976,61561
60,"6-Layer FC-Net (1941 parameters, dropout = 0.2)",5,10,0.2,0.027502735498538156,1941
61,"6-Layer FC-Net (1941 parameters, dropout = 0.5)",5,10,0.5,0.02754684470989699,1941
62,"6-Layer FC-Net (1941 parameters, dropout = 0.7)",5,10,0.7,0.028088262412238923,1941
63,"6-Layer FC-Net (8221 parameters, dropout = 0.2)",5,30,0.2,0.02920156026841115,8221
64,"6-Layer FC-Net (8221 parameters, dropout = 0.5)",5,30,0.5,0.029389968943803427,8221
65,"6-Layer FC-Net (8221 parameters, dropout = 0.7)",5,30,0.7,0.029437008741084906,8221
66,"6-Layer FC-Net (23641 parameters, dropout = 0.2)",5,60,0.2,0.03085031462916057,23641
67,"6-Layer FC-Net (23641 parameters, dropout = 0.5)",5,60,0.5,0.03149733426342429,23641
68,"6-Layer FC-Net (23641 parameters, dropout = 0.7)",5,60,0.7,0.031038553442964658,23641
69,"6-Layer FC-Net (46261 parameters, dropout = 0.2)",5,90,0.2,0.032326626023917275,46261
70,"6-Layer FC-Net (46261 parameters, dropout = 0.5)",5,90,0.5,0.03307633477122714,46261
71,"6-Layer FC-Net (46261 parameters, dropout = 0.7)",5,90,0.7,0.03337835956802219,46261
72,"6-Layer FC-Net (76081 parameters, dropout = 0.2)",5,120,0.2,0.03485955038271935,76081
73,"6-Layer FC-Net (76081 parameters, dropout = 0.5)",5,120,0.5,0.03463927927983331,76081
74,"6-Layer FC-Net (76081 parameters, dropout = 0.7)",5,120,0.7,0.0341666516640617,76081
75,"7-Layer FC-Net (2051 parameters, dropout = 0.2)",6,10,0.2,0.02783887892424162,2051
76,"7-Layer FC-Net (2051 parameters, dropout = 0.5)",6,10,0.5,0.02755517633610563,2051
77,"7-Layer FC-Net (2051 parameters, dropout = 0.7)",6,10,0.7,0.028016628861402024,2051
78,"7-Layer FC-Net (9151 parameters, dropout = 0.2)",6,30,0.2,0.029689736143905028,9151
79,"7-Layer FC-Net (9151 parameters, dropout = 0.5)",6,30,0.5,0.02919749385344499,9151
80,"7-Layer FC-Net (9151 parameters, dropout = 0.7)",6,30,0.7,0.029495115008656585,9151
81,"7-Layer FC-Net (27301 parameters, dropout = 0.2)",6,60,0.2,0.03160034509544691,27301
82,"7-Layer FC-Net (27301 parameters, dropout = 0.5)",6,60,0.5,0.03267895573973902,27301
83,"7-Layer FC-Net (27301 parameters, dropout = 0.7)",6,60,0.7,0.032055417988369535,27301
84,"7-Layer FC-Net (54451 parameters, dropout = 0.2)",6,90,0.2,0.03413031724311575,54451
85,"7-Layer FC-Net (54451 parameters, dropout = 0.5)",6,90,0.5,0.03391839922408213,54451
86,"7-Layer FC-Net (54451 parameters, dropout = 0.7)",6,90,0.7,0.034727349979965925,54451
87,"7-Layer FC-Net (90601 parameters, dropout = 0.2)",6,120,0.2,0.038436614454697565,90601
88,"7-Layer FC-Net (90601 parameters, dropout = 0.5)",6,120,0.5,0.03457247548888781,90601
89,"7-Layer FC-Net (90601 parameters, dropout = 0.7)",6,120,0.7,0.03795881168712054,90601
